District LEA,NCES LEA ID,District Description,Mailing Address
7310000,0512000,Rose Bud School District,"124 School Rd
Rose Bud
AR - 72137"
5805000,0512060,Russellville School District,"220 W 10Th St
Russellville
AR - 72801"
2502000,0512090,Salem School District,"313 Hwy 62 E Suite 1
Salem
AR - 72576"
4204000,0512180,Scranton School District,"103 N Tenth St
Scranton
AR - 72863"
6502000,0509480,Searcy County School District,"952 Hwy 65 N
Marshall
AR - 72650"
7311000,0512210,Searcy School District,"801 N Elm St
Searcy
AR - 72143"
2705000,0500015,Sheridan School District,"400 N Rock
Sheridan
AR - 72150"
7104000,0512420,Shirley School District,"154 School Dr
Shirley
AR - 72153"
0406000,0512450,Siloam Springs School District,"847 S Dogwood
Siloam Springs
AR - 72761"
3806000,0512480,Sloan-Hendrix School Dist.,"1 Greyhound Cir
Imboden
AR - 72434"
7008000,0512510,Smackover School District,"112 E 8Th St
Smackover
AR - 71762"
1507000,0512520,So. Conway Co. School District,"704 E Church
Morrilton
AR - 72110"
5504000,0510320,South Pike County School District,"605 3Rd Ave
Murfreesboro
AR - 71958"
7105000,0512570,South Side School District,"334 Southside Rd
Bee Branch
AR - 72013"
3209000,0512540,Southside School District,"70 Scott Dr
Batesville
AR - 72501"
2906000,0512630,Spring Hill School District,"633 Hwy 355 W
Hope
AR - 71801"
7207000,0512660,Springdale School District,"804 W Johnson Ave
Springdale
AR - 72764"
4003000,0500028,Star City School District,"206 Cleveland St
Star City
AR - 71667"
7009000,0512930,Strong-Huttig School District,"108 E 5Th St
Strong
AR - 71765"
0104000,0512960,Stuttgart School District,"2501 S Main
Stuttgart
AR - 72160"
4605000,0513110,Texarkana School District,"3512 Grand Ave
Texarkana
AR - 71854"
5605000,0500047,Trumann School District,"221 Pine Ave
Trumann
AR - 72472"
7510000,0500079,Two Rivers School District,"600 Main St
Plainview
AR - 72857"
0505000,0513350,Valley Springs School District,"7349 School St
Valley Springs
AR - 72682"
1612000,0513380,Valley View School District,"2131 Valley View Dr
Jonesboro
AR - 72404"
1705000,0513410,Van Buren School District,"2221 Pointer Trail E
Van Buren
AR - 72956"
2307000,0513530,Vilonia School District,"11 Eagle St
Vilonia
AR - 72173"
2503000,0513560,Viola School District,"314 Longhorn Dr
Viola
AR - 72583"
6401000,0513680,Waldron School District,"1560 W Sixth St
Waldron
AR - 72958"
0602000,0500006,Warren School District,"408 Cherry
Warren
AR - 71671"
3509000,0513930,Watson Chapel School District,"4100 Camden Rd
Pine Bluff
AR - 71603"
7208000,0514010,West Fork School District,"359 School Ave
West Fork
AR - 72774"
1803000,0508040,West Memphis School District,"301 S Avalon
West Memphis
AR - 72301"
1204000,0514040,West Side School District,"7295 Greers Ferry Rd
Greers Ferry
AR - 72067"
7509000,0500041,Western Yell Co. School Dist.,"1 Wolverine Dr
Havana
AR - 72842"
1602000,0504020,Westside Cons. School District,"1630 Hwy 91 W
Jonesboro
AR - 72404"
3606000,0514020,Westside School District,"122 Thompson St
Hartman
AR - 72840"
7304000,0504170,White Co. Central School Dist.,"3259 Hwy 157
Judsonia
AR - 72081"
3510000,0514140,White Hall School District,"1020 W Holland Ave
White Hall
AR - 71602"
1505000,0514370,Wonderview School District,"2436 Hwy 95
Hattieville
AR - 72063"
1304000,0514400,Woodlawn School District,"6760 Hwy 63
Rison
AR - 71665"
1905000,0514430,Wynne School District,"1300 N Falls Blvd
Wynne
AR - 72396"
4502000,0514490,Yellville-Summit School Dist.,"1124 N Panther Ave
Yellville
AR - 72687"
